timestamp_ms,stream_type,seq,packet_bytes,decrypt_time_ms,latency_ms,jitter_ms,packet_lost,underrun,queue_size,decode_ok,play_ok
1774052526113,audio,207,2098,0.1064020007106592,2,0,0,0,17,1,1
1774052526117,video,70,18688,0.13009700069233077,3,1,0,0,0,1,1
1774052526137,audio,208,2098,0.07849800022086129,3,1,0,0,16,1,1
1774052526160,audio,209,2098,0.10001000009651762,2,1,0,0,17,1,1
1774052526185,audio,210,2098,0.08183499994629528,4,2,0,0,16,1,1
1774052526186,video,71,18654,0.10194300011789892,5,2,0,0,0,1,1
1774052526207,audio,211,2098,0.08114400043268688,3,1,0,0,17,1,1
1774052526230,audio,212,2098,0.08221600000979379,2,1,0,0,17,1,1
1774052526252,video,72,18494,0.1274819996979204,5,0,0,0,0,1,1
1774052526253,audio,213,2098,0.08649399933347013,2,0,0,0,18,1,1
1774052526276,audio,214,2098,0.07863900009397184,2,0,0,0,17,1,1
1774052526300,audio,215,2098,0.07278799967025407,3,1,0,0,16,1,1
1774052526318,video,73,18669,0.11559900030988501,4,1,0,0,0,1,1
1774052526323,audio,216,2098,0.09882799986371538,2,1,0,0,17,1,1
1774052526346,audio,217,2098,0.09114299973589368,2,0,0,0,16,1,1
1774052526369,audio,218,2098,0.08663399967190344,2,0,0,0,17,1,1
1774052526385,video,74,18715,0.13270199997350574,4,0,0,0,0,1,1
1774052526393,audio,219,2098,0.11089100007666275,2,0,0,0,16,1,1
1774052526416,audio,220,2098,0.08092400003079092,2,0,0,0,17,1,1
1774052526439,audio,221,2098,0.096392999694217,2,0,0,0,16,1,1
1774052526451,video,75,18676,0.10677199952624505,3,1,0,0,0,1,1
1774052526463,audio,222,2098,0.08192499990400393,3,1,0,0,17,1,1
1774052526486,audio,223,2098,0.11284399988653604,2,1,0,0,17,1,1
1774052526509,audio,224,2098,0.07880999964982038,2,0,0,0,18,1,1
1774052526518,video,76,18661,0.13016699995205272,4,1,0,0,0,1,1
